episodeTitle,episodeNum,seasonNum,episodeId,total_duration
Winter Is Coming,1,1,1,3509
The Kingsroad,2,1,2,3142
Lord Snow,3,1,3,3257
"Cripples, Bastards, and Broken Things",4,1,4,3164
The Wolf and the Lion,5,1,5,3073
A Golden Crown,6,1,6,2977
You Win or You Die,7,1,7,3289
The Pointy End,8,1,8,3279
Baelor,9,1,9,3183
Fire and Blood,10,1,10,2980
The North Remembers,1,2,11,2931
The Night Lands,2,2,12,3014
What Is Dead May Never Die,3,2,13,2969
Garden of Bones,4,2,14,2822
The Ghost of Harrenhal,5,2,15,3054
The Old Gods and the New,6,2,16,3034
A Man Without Honor,7,2,17,3093
The Prince of Winterfell,8,2,18,2998
Blackwater,9,2,19,2731
Valar Morghulis,10,2,20,3610
Valar Dohaeris,1,3,21,3032
"Dark Wings, Dark Words",2,3,22,3229
Walk of Punishment,3,3,23,2972
And Now His Watch Is Ended,4,3,24,3005
Kissed by Fire,5,3,25,3239
The Climb,6,3,26,3007
The Bear and the Maiden Fair,7,3,27,3208
Second Sons,8,3,28,3148
The Rains of Castamere,9,3,29,2807
Mhysa,10,3,30,3524
Two Swords,1,4,31,3291
The Lion and the Rose,2,4,32,2939
Breaker of Chains,3,4,33,3207
Oathkeeper,4,4,34,3080
First of His Name,5,4,35,2996
The Laws of Gods and Men,6,4,36,2845
Mockingbird,7,4,37,2868
The Mountain and the Viper,8,4,38,2947
The Watchers on the Wall,9,4,39,2774
The Children,10,4,40,3744
The Wars to Come,1,5,41,2867
The House of Black and White,2,5,42,3135
High Sparrow,3,5,43,3357
Sons of the Harpy,4,5,44,2804
Kill the Boy,5,5,45,3176
"Unbowed, Unbent, Unbroken",6,5,46,3008
The Gift,7,5,47,3330
Hardhome,8,5,48,3278
The Dance of Dragons,9,5,49,2883
Mother's Mercy,10,5,50,3359
The Red Woman,1,6,51,2743
Home,2,6,52,3012
Oathbreaker,3,6,53,2929
Book of the Stranger,4,6,54,3301
The Door,5,6,55,3210
Blood of My Blood,6,6,56,2862
The Broken Man,7,6,57,2734
No One,8,6,58,3219
Battle of the Bastards,9,6,59,3171
The Winds of Winter,10,6,60,3839
Dragonstone,1,7,61,3266
Stormborn,2,7,62,3208
The Queen's Justice,3,7,63,3465
The Spoils of War,4,7,64,2696
Eastwatch,5,7,65,3255
Beyond the Wall,6,7,66,3954
The Dragon and the Wolf,7,7,67,4409
Winterfell,1,8,68,2939
A Knight of the Seven Kingdoms,2,8,69,3250
The Long Night,3,8,70,4252
The Last of the Starks,4,8,71,4392
The Bells,5,8,72,4129
The Iron Throne,6,8,73,4510
